Quarter,Operating Revenue,Non-Operating Revenue,ASK,RPK,PLF,RASK,CASK,CASK ex-Fuel,Fuel Costs,Other Costs,Fleet,USD,Profit
Q3 FY16,42977570000,1097380000,10750000000,9090000000,84.6,4,3.14,2.05,11658610000,23087300000,100,66.15,6572880000
Q4 FY16,40906750000,1569080000,11370000000,9670000000,85.1,3.64,2.92,2.02,10236070000,24131400000,107,66.16,5793100000
Q1 FY17,45788520000,1626060000,12710000000,10580000000,83.3,3.62,3.04,1.96,13674110000,26273510000,109,66.93,5919470000
Q2 FY17,41669330000,1607630000,13370000000,10980000000,82.2,3.12,2.99,1.83,15523880000,25987520000,118,66.61,1385850000
Q3 FY17,49864960000,1719300000,14390000000,12560000000,87.3,3.48,3.06,1.9,16712030000,28850890000,126,67.92,4865010000
Q4 FY17,48482190000,2937710000,14120000000,12160000000,86.1,3.52,3.08,1.84,17505110000,27725250000,131,64.85,4403080000
Q1 FY18,57529120000,2026350000,15080000000,13270000000,88,3.82,3.08,1.91,17591660000,30720460000,135,64.63,8111460000
Q2 FY18,52909800000,2145820000,15100000000,12680000000,84,3.52,3.01,1.92,16472530000,30937720000,141,65.28,5515560000
Q3 FY18,61778820000,2719090000,16300000000,14400000000,88.5,3.84,3.18,1.94,20160090000,33621830000,153,63.88,7620300000
Q4 FY18,57991130000,2577300000,17100000000,15200000000,88.9,3.4,3.3,1.94,23377080000,35529290000,159,65.16,1176420000
Q1 FY19,65120000000,3064000000,17800000000,15900000000,89.3,3.7,3.69,2.17,27156000000,40713000000,169,68.44,278000000
Q2 FY19,61853000000,3289000000,19500000000,16400000000,84.5,3.23,3.74,2.18,30355000000,44668000000,189,72.58,-6521000000
Q3 FY19,79162000000,3131000000,21600000000,18400000000,85.3,3.7,3.61,2.04,34104000000,46281000000,208,69.71,1909000000
Q4 FY19,78833000000,3765000000,22100000000,19000000000,86,3.63,3.35,2.09,27813000000,48617000000,217,69.21,5896000000
Q1 FY20,94201000000,3669000000,23300000000,20700000000,88.9,4.1,3.45,2.11,31361000000,41415000000,235,68.9,12031000000
Q2 FY20,81052000000,4346000000,24200000000,20200000000,83.5,3.42,3.85,2.56,31154000000,64562000000,245,70.71,-10620000000
Q3 FY20,99317000000,3985000000,25800000000,22600000000,87.6,3.91,3.69,2.4,33419000000,64317000000,257,71.3,4960000000
Q4 FY20,82991000000,3356000000,23000000000,19100000000,82.8,3.65,4.21,2.97,28604000000,70640000000,262,75.35,-8708000000
Q1 FY21,7667000000,3771000000,2100000000,1300000000,61.3,4.19,17.69,17.09,1275000000,38589000000,274,75.55,-28443000000
Q2 FY21,27410000000,2882000000,8900000000,5800000000,65.1,3.24,4.58,3.85,6464000000,35776000000,282,73.69,-11948000000
Q3 FY21,49100000000,2328000000,15300000000,11000000000,72,3.27,3.68,2.93,11429000000,46230000000,287,73.07,-6201000000
Q4 FY21,62229000000,1389000000,19200000000,13500000000,70.2,3.26,3.86,2.87,19145000000,56049000000,285,73.39,-11472000000
Q1 FY22,30069000000,1633000000,11200000000,6600000000,58.7,2.73,5.55,4.47,12159000000,51285000000,277,74.39,-31742000000
Q2 FY22,56085000000,1902000000,15800000000,11200000000,71.1,3.6,4.51,3.25,19894000000,52450000000,279,74.22,-14357000000
Q3 FY22,92948000000,1853000000,23000000000,18300000000,79.7,4.09,4.03,2.6,32693000000,60771000000,283,74.25,1298000000
Q4 FY22,80207000000,1867000000,20400000000,15600000000,76.7,3.97,4.79,3.21,32206000000,64644000000,275,75.67,-16818000000
Q1 FY23,128553000000,1635000000,27500000000,21900000000,79.6,4.69,5.08,2.9,59901000000,80390000000,281,78.92,-10643000000
Q2 FY23,124976000000,3547000000,27700000000,21900000000,79.2,4.57,5.15,2.88,62579000000,81777000000,279,81.58,-15833000000
